"Add a discount code","Κουπόνι έκπτωσης"
"Add to cart","Προσθήκη στο καλάθι"
"Are you sure you would like to remove all the items from the shopping cart?","Θέλετε να διαγράψετε όλα τα προϊόντα απο το καλάθι αγορών;"
"Are you sure you would like to remove this item from the shopping cart?","Θέλετε να διαγράψετε το προϊόν απο το καλάθι αγορών;"
"Cancel","Ακύρωση"
"Checkout","Ταμείο"
"City *","Πόλη *"
"Clear cart","Καθαρισμός καλαθιού"
"Continue to payment","Συνέχεια στον τρόπο πληρωμής"
"Continue to shipping","Συνέχεια στα στοιχεία αποστολής"
"Copy address data from shipping","Γρήγορη αντιγραφή στοιχείων"
"Country *","Χώρα *"
"Create a new account","Δημιουργία λογαριασμού"
"Don't hesitate and","Μην διστάσετε"
"E-mail address *","Διεύθυνση E-mail"
"E-mail address","Διεύθυνση E-mail"
"Edit payment","Επεξεργασία στοιχείων πληρωμής"
"Edit personal details","Επεξεργασία προσωπικών στοιχείων"
"Edit shipping","Επεξεργασία στοιχείων αποστολής"
"Email address *","Διεύθυνση Email *"
"Field is required","Το πεδίο είναι υποχρεωτικό"
"Field is required.","Το πεδίο είναι υποχρεωτικό"
"First name *","Όνομα *"
"Forgot the password?","Ξέχασα τον κωδικό"
"Go review the order","Σύνοψη Παραγγελίας"
"Go to checkout","Πληρωμή"
"Grand total","Τελικό Σύνολο"
"Grand total","Τελικό Σύνολο"
"House/Apartment number *","Αριθμός *"
"I accept ","Αποδέχομαι "
"I accept terms and conditions","Αποδέχομαι τους όρους χρήσης"
"I agree to","Συμφωνώ με"
"I want to create an account","Θέλω να δημιουργήσω λογαριασμό"
"I want to generate an invoice for the company","Τιμολόγιο"
"In stock!","Σε απόθεμα"
"Instant Checkout","Γρήγορη Πληρωμή"
"Last name *","Επίθετο *"
"Log in to your account","Είσοδος"
"Log in","Είσοδος"
"Login to your account","Είσοδος/Εγγραφή"
"My account","Ο λογαριασμός μου"
"Name must have at least 2 letters.","Το όνομα πρέπει να αποτελέιται απο τουλάχιστον 2 χαρακτήρες"
"OK","OK"
"Order Summary","H παραγγελία σου"
"Order confirmation","Επιβεβαίωση παραγγελίας"
"Password *","Κωδικός *"
"Passwords must be identical.","Οι κωδικοί πρέπει να είναι ίδιοι."
"Payment Method","Τρόπος πληρωμής"
"Payment","Τρόπος πληρωμής"
"Personal Details","Προσωπικά Στοιχεία"
"Phone Number","Τηλέφωνο"
"Place the order","Αποστολή"
"Please check if all data are correct","Παρακαλώ ελέγξτε την ορθότητα των στοιχείων σας"
"Please provide valid e-mail address.","Παρακαλούμε συμπληρώστε ένα εγκυρο Email"
"Privacy policy","Πολιτική Απορρήτου"
"Privacy","Πολιτική Απορρήτου"
"Proceed to checkout","Ταμείο"
"Product details","Πληροφορίες προϊόντος"
"Product has been added to the cart!","Το προϊόν προστέθηκε στο καλάθι"
"Qty","Ποσ."
"Quantity must be positive integer","H ποσότητα πρέπει να είναι θετικός αριθμός"
"Quantity","Ποσότητα"
"Register an account","Εγγραφή"
"Register","Εγγραφή"
"Registering the account ...","Εγγραφή..."
"Remember me","Να με θυμάσαι"
"Repeat password *","Επανάληψη κωδικού"
"Return to shopping","Πίσω στο κατάστημα"
"Review order","Σύνοψη Παραγγελίας"
"See details","Λεπτομέρειες"
"Ship to my default address","Αποστολή στην προεπιλεγμένη διεύθυνση"
"Shipping method","Τρόποι Αποστολής"
"Shipping","Στοιχεία αποστολής"
"Shopping cart is empty. Please add some products before entering Checkout","Το καλάθι σας είναι άδειο. Προσθέστε μερικά προϊόντα πρώτα"
"Shopping cart","Καλάθι Αγορών"
"Shopping summary","H παραγγελία σου"
"Some of the ordered products are not available!","Μερικά προϊόντα δεν είναι διαθέσιμα!"
"State / Province","Νομός"
"Street name *","Διεύθυνση *"
"Subtotal","Μερικό Σύνολο"
"Terms and conditions","Όροι χρήσης"
"The new account will be created with the purchase. You will receive details on e-mail.","Ο νέος λογαριασμός θα δημιουργηθεί μετά την παραγγελία. Θα λάβετε περισσότερες πληροφορίες στο email σας."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Δεν υπάρχει σύνδεση στο Δίκτυο. Μπορείτε ακόμη να κάνετε παραγγελία. Θα σας ειδοποιήσουμε αν κάποιο απο τα προϊόντα δεν είναι διαθέσιμα όταν συνδεθείτε ξανά."
"Type what you are looking for...","Αναζήτηση..."
"Unfortunately we can't find the page you are looking for.","Δυστυχώς η σελίδα δεν βρέθηκε."
"We can't find the page","Η σελίδα δεν βρέθηκε"
"We use cookies to give you the best shopping experience.","Χρησιμοποιούμε cookies για την καλύτερη εμπειρία χρήστη."
"We will send you details regarding the order","Θα σας στείλουμε οδηγίες σχετικά με την παραγγελία σας"
"You can also use","Μπορείτε να κάνετε μια αναζήτηση"
"You must accept the terms and conditions.","Πρέπει να αποδεχτείτε τους όρους χρήσης"
"You need to be logged in to see this page","Πρέπει να είστε συνδεδεμένοι για να έχετε πρόσβαση στη σελίδα"
"Your purchase","Η αγορά σας"
"Your shopping cart is empty.","Το καλάθι σας είναι άδειο"
"Zip-code *","ΤΚ *"
"browse our catalog","να"
"login to your account","συνδεθείτε στον λογαριασμό σας"
"or","ή"
"register an account","Εγγραφή"
"to find something beautiful for You!","δείτε τον κατάλογό μας."
